Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
136,17.5,17.9,0.09999999999999432
137,15.75,17.9,0.09999999999999432
138,18.725,17.8,0.09999999999999432
139,13.125,17.8,0.09999999999999432
140,14.35,17.8,0.09999999999999432
141,9.45,17.8,0.09999999999999432
142,14.55,17.9,0.09999999999999432
143,10.8,17.9,0.09999999999999432
144,17.05,18.0,0.09999999999999432
145,38.375,18.0,0.09999999999999432
146,30.45,18.0,0.09999999999999432
147,21.3,18.0,0.09999999999999432
148,16.225,18.0,0.09999999999999432
149,9.85,18.0,0.09999999999999432
150,10.425,18.0,0.09999999999999432
151,7.775,18.0,0.09999999999999432
152,13.175,18.0,0.09999999999999432
153,12.6,18.0,0.09999999999999432
154,11.05,18.0,0.09999999999999432
155,11.5,18.0,0.09999999999999432
156,10.075,18.0,0.09999999999999432
157,21.7,18.1,0.09999999999999432
158,31.175,18.1,0.09999999999999432
159,8.55,18.1,0.09999999999999432
160,14.625,18.1,0.09999999999999432
161,35.475,18.2,0.09999999999999432
162,18.225,18.2,0.09999999999999432
163,19.0,18.2,0.09999999999999432
164,27.225,18.3,0.09999999999999432
165,10.125,18.2,0.09999999999999432
166,15.725,18.3,0.09999999999999432
167,22.450000000000003,18.2,0.09999999999999432
168,19.65,18.2,0.09999999999999432
169,13.6,18.2,0.09999999999999432
170,14.2,18.2,0.09999999999999432
171,14.1,18.2,0.09999999999999432
172,13.7,18.2,0.09999999999999432
173,16.075,18.2,0.09999999999999432
174,10.525,18.2,0.09999999999999432
175,14.2,18.2,0.09999999999999432
176,12.725,18.2,0.09999999999999432
177,15.025,18.2,0.09999999999999432
178,16.525,18.2,0.09999999999999432
179,11.85,18.2,0.09999999999999432
180,11.65,18.2,0.09999999999999432
181,14.225,18.2,0.09999999999999432
182,10.7,18.2,0.09999999999999432
183,15.95,18.2,0.09999999999999432
184,12.375,18.2,0.09999999999999432
185,10.9,18.2,0.09999999999999432
186,12.1,18.2,0.09999999999999432
187,12.3,18.2,0.09999999999999432
188,15.3,18.2,0.09999999999999432
189,14.1,18.2,0.09999999999999432
190,11.975,18.2,0.09999999999999432
191,16.525,18.2,0.09999999999999432
192,12.325,18.2,0.09999999999999432
193,12.4,18.2,0.09999999999999432
194,10.275,18.2,0.09999999999999432
195,11.9,18.2,0.09999999999999432
196,12.25,18.2,0.09999999999999432
197,7.4,18.2,0.09999999999999432
198,13.825,18.2,0.09999999999999432
199,25.875,18.1,0.09999999999999432
200,25.725,18.1,0.09999999999999432
201,14.75,18.1,0.09999999999999432
202,12.9,18.1,0.09999999999999432
203,11.874999999999998,18.1,0.09999999999999432
204,10.25,18.1,0.09999999999999432
205,11.175,18.1,0.09999999999999432
206,12.025,18.1,0.09999999999999432
207,21.425,18.1,0.09999999999999432
208,37.75,18.1,0.19999999999998863
209,14.05,18.1,0.19999999999998863
210,10.4,18.1,0.19999999999998863
211,40.7,18.2,0.19999999999998863
212,24.375,18.2,0.19999999999998863
213,25.075,18.2,0.19999999999998863
214,24.075,18.3,0.19999999999998863
215,23.025,18.2,0.19999999999998863
216,17.875,18.1,0.19999999999998863
217,14.875,18.1,0.19999999999998863
218,29.8,18.2,0.09999999999999432
219,9.0,18.2,0.09999999999999432
220,10.05,18.2,0.09999999999999432
221,12.725,18.1,0.09999999999999432
222,46.725,18.2,0.09999999999999432
223,28.65,18.2,0.09999999999999432
224,12.725,18.2,0.09999999999999432
225,14.8,18.2,0.09999999999999432
226,10.775,18.2,0.09999999999999432
227,12.6,18.2,0.09999999999999432
228,39.0,18.2,0.09999999999999432
229,57.925,18.3,0.09999999999999432
230,56.35,18.8,0.09999999999999432
231,38.65,18.3,0.09999999999999432
232,12.975,18.3,0.09999999999999432
233,37.8,18.3,0.19999999999998863
234,36.400000000000006,18.2,0.19999999999998863
235,32.375,18.2,0.19999999999998863
236,17.725,18.2,0.19999999999998863
237,22.425,18.2,0.19999999999998863
238,22.825000000000003,18.3,0.29999999999999716
239,15.9,18.3,0.29999999999999716
240,19.15,18.3,0.3999999999999915
241,19.15,18.3,0.3999999999999915
242,23.575000000000003,18.4,0.3999999999999915
243,16.85,18.4,0.3999999999999915
244,39.175,18.4,0.3999999999999915
245,47.45,18.5,0.3999999999999915
246,48.5,18.5,0.29999999999999716
247,43.875,18.5,0.29999999999999716
248,25.15,18.5,0.19999999999998863
249,55.25,18.4,0.19999999999998863
250,56.275,18.6,0.19999999999998863
251,41.525000000000006,18.6,0.19999999999998863
252,41.6,18.4,0.19999999999998863
253,36.1,18.4,0.19999999999998863
254,26.4,18.3,0.19999999999998863
255,31.125,18.3,0.19999999999998863
256,25.7,18.3,0.19999999999998863
257,53.7,18.3,0.19999999999998863
258,58.1,18.3,0.19999999999998863
259,41.15,18.4,0.19999999999998863
260,55.525,18.6,0.19999999999998863
261,35.475,18.7,0.19999999999998863
262,49.975,18.7,0.19999999999998863
263,50.8,18.9,0.19999999999998863
264,56.0,19.0,0.19999999999998863
265,53.675,19.4,0.19999999999998863
266,45.275,18.9,0.19999999999998863
267,60.825,18.7,0.19999999999998863
268,57.7,18.7,0.29999999999999716
269,57.85,18.8,0.29999999999999716
270,56.425,18.8,0.29999999999999716
271,57.5,19.0,0.29999999999999716
272,57.150000000000006,18.9,0.29999999999999716
273,59.150000000000006,18.9,0.29999999999999716
274,56.4,18.7,0.3999999999999915
275,58.45,19.0,0.29999999999999716
276,57.425,18.9,0.29999999999999716
277,35.7,18.8,0.3999999999999915
278,29.85,18.9,0.3999999999999915
279,36.875,18.8,0.5
280,20.575,18.8,0.5
281,44.27499999999999,18.9,0.5
282,16.299999999999997,18.9,0.5
283,55.85,19.0,0.5
284,43.675,18.8,0.5999999999999943
285,48.175,18.8,0.5999999999999943
286,24.225,18.9,0.5999999999999943
287,18.45,18.9,0.5999999999999943
288,23.700000000000003,18.9,0.6999999999999886
289,25.35,18.9,0.6999999999999886
290,31.875,19.0,0.6999999999999886
291,19.950000000000003,19.0,0.6999999999999886
292,28.825,19.0,0.7999999999999972
293,13.4,19.0,0.7999999999999972
294,21.075,19.1,0.7999999999999972
295,35.775,19.2,0.7999999999999972
296,54.975,19.2,0.7999999999999972
297,38.0,19.1,0.8999999999999915
298,15.575,19.1,0.8999999999999915
299,26.925,19.1,0.8999999999999915
300,15.3,19.1,0.8999999999999915
301,44.95,19.1,1.0
302,20.65,19.1,1.0
303,30.85,19.2,1.0
304,15.9,19.2,1.0
305,21.5,19.2,1.0
306,22.675,19.3,1.0
307,52.0,19.4,1.0
308,57.65,19.4,1.0
309,25.85,19.5,1.0
310,40.2,19.6,1.0
311,24.45,19.6,1.0999999999999943
312,25.35,19.6,1.0999999999999943
313,20.425,19.6,1.0999999999999943
314,18.425,19.6,1.0999999999999943
315,22.925,19.7,1.0999999999999943
316,25.525,19.8,1.0999999999999943
317,27.6,19.8,1.0999999999999943
318,34.05,19.7,1.0999999999999943
319,27.875,19.7,1.0999999999999943
320,50.5,19.7,1.0999999999999943
321,58.575,19.8,1.0
322,56.675,19.9,1.0
323,32.825,19.9,1.0
324,17.75,19.9,1.0
325,25.2,19.9,1.0
326,29.85,20.1,1.0
327,31.125,19.9,1.0
328,28.075000000000003,19.9,1.0
329,40.225,19.9,1.0
330,24.825,20.1,0.8999999999999915
331,21.375,20.1,0.8999999999999915
332,29.55,20.1,0.8999999999999915
333,54.6,20.1,0.8999999999999915
334,57.025,20.3,0.8999999999999915
335,58.7,20.3,0.8999999999999915
336,54.8,20.5,0.8999999999999915
337,53.825,20.7,0.8999999999999915
338,42.400000000000006,20.6,0.8999999999999915
339,33.05,20.2,0.8999999999999915
340,47.75,20.0,0.8999999999999915
341,61.35,20.1,0.7999999999999972
342,47.525000000000006,20.3,0.6999999999999886
343,45.3,20.0,0.6999999999999886
344,37.925,19.7,0.6999999999999886
345,37.025000000000006,19.7,0.6999999999999886
346,45.375,19.6,0.5999999999999943
347,44.225,19.6,0.5999999999999943
348,58.15,19.6,0.5999999999999943
349,58.5,19.6,0.5999999999999943
350,56.2,19.8,0.5999999999999943
351,58.35,19.9,0.5999999999999943
352,57.725,20.1,0.5999999999999943
353,58.3,20.2,0.5
354,57.175,20.2,0.5
355,58.95,20.0,0.5
356,57.675,20.1,0.5
357,58.65,20.1,0.5
358,57.4,20.0,0.5
359,57.575,20.0,0.5
360,57.900000000000006,19.7,0.5
361,57.5,19.7,0.5
362,56.125,19.7,0.5
363,61.2,19.9,0.5
364,57.8,19.5,0.5
365,40.2,19.2,0.3999999999999915
366,55.35,19.0,0.3999999999999915
367,59.4,18.9,0.3999999999999915
368,58.25000000000001,18.9,0.3999999999999915
369,58.15,19.2,0.29999999999999716
370,55.175,19.1,0.29999999999999716
371,27.25,19.2,0.29999999999999716
372,40.925,19.2,0.29999999999999716
373,34.65,19.0,0.29999999999999716
374,26.0,18.9,0.29999999999999716
375,30.3,18.8,0.29999999999999716
376,18.125,18.8,0.29999999999999716
377,52.875,18.8,0.29999999999999716
378,31.9,18.9,0.19999999999998863
379,55.575,18.9,0.19999999999998863
380,56.95,18.9,0.19999999999998863
381,57.7,18.9,0.19999999999998863
382,56.75,19.0,0.19999999999998863
383,56.475,19.1,0.19999999999998863
384,56.85,19.2,0.19999999999998863
385,56.975,19.0,0.19999999999998863
386,48.275,18.9,0.19999999999998863
387,38.625,18.9,0.09999999999999432
388,23.275,18.7,0.19999999999998863
389,53.3,18.8,0.19999999999998863
390,44.575,18.9,0.29999999999999716
391,31.25,18.9,0.29999999999999716
392,31.3,18.9,0.29999999999999716
393,19.6,18.9,0.29999999999999716
394,35.1,18.9,0.3999999999999915
395,21.225,18.9,0.3999999999999915
396,55.575,18.9,0.3999999999999915
397,58.4,19.0,0.3999999999999915
398,57.425,18.9,0.5
399,38.975,19.0,0.5
400,24.675,19.0,0.5
401,29.65,19.0,0.5
402,26.05,18.9,0.5
403,16.075,18.9,0.5
404,22.675,19.0,0.5
405,13.125000000000002,19.0,0.5
406,36.225,19.1,0.5999999999999943
407,19.125,19.1,0.5999999999999943
408,34.9,19.2,0.5999999999999943
409,16.85,19.2,0.5999999999999943
410,56.925,19.2,0.5999999999999943
411,57.225,19.3,0.5999999999999943
412,55.95,19.4,0.5999999999999943
413,37.85,19.4,0.5999999999999943
414,30.025,19.6,0.5999999999999943
415,35.125,19.7,0.5999999999999943
416,41.35,19.7,0.5999999999999943
417,40.275,19.8,0.5
418,23.975,19.4,0.5
419,35.400000000000006,19.6,0.5
420,32.25,19.6,0.5
421,38.2,19.4,0.5
422,20.625,19.4,0.5
423,35.9,19.6,0.5
424,49.325,19.7,0.5
425,57.4,19.7,0.5
426,58.275,19.8,0.5
427,58.275,19.6,0.5
428,56.825,19.7,0.5
429,57.400000000000006,20.0,0.3999999999999915
430,57.15,20.1,0.3999999999999915
431,57.05,20.2,0.3999999999999915
432,56.925,19.9,0.3999999999999915
433,57.625,20.0,0.3999999999999915
434,55.875,20.1,0.3999999999999915
435,56.75,20.2,0.3999999999999915
436,56.95,20.3,0.3999999999999915
437,56.975,20.4,0.3999999999999915
438,56.3,20.5,0.5
439,59.75,20.4,0.5
440,55.8,20.5,0.5
441,56.5,20.5,0.3999999999999915
442,55.275000000000006,20.2,0.3999999999999915
443,58.400000000000006,20.2,0.3999999999999915
444,59.125,20.1,0.5
445,57.625,20.0,0.5
446,57.125,20.0,0.5
447,56.025,20.0,0.5
448,57.3,19.8,0.5
449,57.35,19.8,0.5
450,57.1,19.5,0.5
451,57.7,19.5,0.5
452,56.975,19.5,0.5
453,51.625,19.3,0.3999999999999915
454,42.0,19.3,0.3999999999999915
455,31.375,19.2,0.29999999999999716
456,41.625,19.5,0.29999999999999716
457,47.475,19.7,0.29999999999999716
458,55.775000000000006,19.8,0.29999999999999716
459,56.775,19.9,0.29999999999999716
460,61.2,20.0,0.29999999999999716
461,58.15,20.2,0.29999999999999716
462,55.425,20.3,0.29999999999999716
463,57.025,20.4,0.29999999999999716
464,55.475,20.4,0.3999999999999915
465,56.9,19.9,0.3999999999999915
