Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
296,52.150000000000006,19.5,0.0
297,52.5,19.6,0.0
298,54.150000000000006,19.5,0.0
299,50.425,19.7,0.0
300,54.325,19.6,0.0
301,68.65,16.5,0.0
302,62.35,16.3,0.0
303,96.225,15.1,0.0
304,39.6,11.9,0.0
305,19.2,10.8,0.0
306,5.275,10.8,0.0
307,8.350000000000001,10.8,0.0
308,6.85,10.8,0.0
309,12.925,10.8,0.0
310,3.75,10.8,0.0
311,1.0,10.8,0.0
312,1.75,10.8,0.0
313,1.0,10.8,0.0
314,1.75,10.8,0.0
315,1.0,10.8,0.0
316,2.0,10.8,0.0
317,1.25,10.8,0.0
318,1.5,10.8,0.0
319,1.75,10.8,0.0
320,1.0,10.8,0.0
321,1.25,10.8,0.0
322,2.0,10.8,0.0
323,1.25,10.8,0.0
324,1.0,10.8,0.0
325,2.0,10.8,0.0
326,1.5,10.8,0.0
327,1.475,10.8,0.0
328,1.725,10.8,0.0
329,0.75,10.8,0.0
330,1.25,10.8,0.0
331,0.75,10.8,0.0
332,2.475,10.8,0.0
333,1.25,10.8,0.0
334,1.25,10.8,0.0
335,1.25,10.8,0.0
336,1.5,10.8,0.0
337,0.5,10.8,0.0
338,1.5,10.8,0.0
339,0.75,10.8,0.0
340,1.5,10.8,0.0
341,1.0,10.8,0.0
342,1.5,10.8,0.0
343,0.75,10.8,0.0
344,1.75,10.8,0.0
345,1.5,10.8,0.0
346,2.475,10.8,0.0
347,0.75,10.8,0.0
348,0.75,10.8,0.0
349,1.5,10.8,0.0
350,1.0,10.8,0.0
351,0.75,10.8,0.0
352,1.75,10.8,0.0
353,1.25,10.8,0.0
354,2.225,10.8,0.0
355,1.25,10.8,0.0
356,1.75,10.8,0.0
357,1.0,10.8,0.0
358,1.5,10.8,0.0
359,1.25,10.8,0.0
360,2.5,10.8,0.0
